id,poster,content
9213173,PBmining,"Piggyback Mining is giving away hash power, FOR FREE!<br /><br />Check out our giveaway thread: <br />https://bitcointalk.org/index.php?topic=418109.0<br /><br />We also sell on Ebay, and have never settled for less than 100% positive feedback:<br />http://ebay.com/usr/pbmining<br /><br />You will be able to monitor your contract with your LIVE Dashboard, with up to the second stats. &nbsp;Payouts are every Sunday!<br /><br /><br />Go register now and start mining!"
9213174,PBmining,"You don&#039;t have to visit the Giveaway Thread, you can play the game RIGHT HERE in this thread too!<br /><br /><br />Quote from: PBmining on January 16, 2014, 04:26:33 AM<br /><br />Welcome to the Grand Opening of Piggyback Mining! &nbsp;<br /><br />You have a chance to win a contract with us for 1GH/S!<br /><br />Watch the closest* mined Block On Saturday, February 1st, at 22:00UTC.<br />On Blockchain.info, that Block will have a Hash, which is indicated within the red box.<br /><br /><br />This timestamp (circled in green) is for demonstration purpose only. &nbsp;<br /><br /><br /><br />If your two digit Entry # in this thread shows up at any point in the Hash, you win! &nbsp;You will have access to your LIVE DASHBOARD on Pbmining.com within 24 hours to watch your mining contract in action! &nbsp;We will then pay you out for those accumulated Bitcoins every Sunday for 5 years!<br /><br />In this example we used, the winners would have been 31, 14, 42, 29, 41, 11, 18, 82. &nbsp;If your entry number matches ANY of those numbers, you win! &nbsp;Yes, we realize some Hashes could show a VERY LARGE number of winners, and we are prepared for that! &nbsp; &nbsp; <br /><br />Can I win more than once?<br />Of course you can win with the same number! &nbsp;However, you can only enter once. <br /><br /><br />So how do I join the draw?<br />Just post here with the following:<br />&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;&quot;And this little piggy went hashing!&quot; &nbsp;(doesn&#039;t have to be perfect)<br /><br />Also include your payout address you would like to use!<br /><br /><br /><br />What is my Entry #?<br />Your &quot;Entry #&quot; will be determined by taking the first letter and last letter of your username and then using this to convert it: <br /><br /><br /><br />If I were playing, PBMINING would be #77<br /><br /><br /><br /><br /><br />So what is PB Mining, anyway?<br /><br />We own Bitcoin mining hardware which we sell in the form of contract hosting. &nbsp;Our &quot;Live Dashboard&quot; solution allows our customers to monitor their contract in action. &nbsp;Users get paid every Sunday! Go check out our contracts on Ebay at http://www.ebay.com/usr/pbmining <br />We have a 100% feedback rating, mostly consisting of ASIC hardware sales. &nbsp; Paypal (through Ebay) and Bitcoin is accepted. &nbsp;The goal of this promotion is to show everybody what they can expect from our cheap hosting plans, and how they differ from the competition. &nbsp; <br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />*In the rare event that there are multiple blocks which are equally as close to February 1, 22:00:00UTC, then both/all of those blocks will be used for winning numbers from their corresponding Hash numbers.<br /><br />**For you to be eligible for this draw, you must have a minimum of 10 posts at the time of entering, with an account no newer than this announcement (Jan 15th, 2014). &nbsp;<br /><br />***Payouts will be made every Sunday before Midnight (GMT - 6).<br /><br /><br /><br /><br /><br />"
9213175,PBmining,I just changed the minimum post number eligibility to 10!&nbsp; :)
9213176,dogie,"And this little piggy went hashing, 46. PO to public address :)"
9213177,PBmining,"Quote from: dogie on January 16, 2014, 05:45:40 PM<br /><br />And this little piggy went hashing, 46. PO to public address :)<br /><br /><br />It&#039;s actually 45 unless you don&#039;t mind me calling you Dogio ;)&nbsp;"
9353150,rocketcoins,And this little piggy went hashing! 91<br /><br />1Bx2miZQEkWBVEiqgPSQxMjYYQEWHSY4Rm
9353151,artw1982,<br />And this little piggy went hashing! 12<br /><br />Address in signature. <br /><br />Thanks
9353152,LavaWave,And this little piggy went hashing! 35<br /><br />1CSUkRbTGZpi4Tw1uSQdcZCzE5QB4GJnhz<br /><br />Thanks!<br />
9353153,empoweoqwj,And this little piggy went hashing! 17<br />1JsV9bKdxHEm7vPASqxoLHjygpLUQNW64C
9353154,hasher87,And this little piggy went hashing! 87<br /><br />1HaGsG2Fn6qWjpgSHCsbBVAL9jeBMbszGo<br /><br />surprisingly my number is the same as my username&#039;s number...NICEEEEEEEE
9353155,empoweoqwj,Can I enter more than once? ;)
9353156,PBmining,"Quote from: empoweoqwj on January 17, 2014, 05:11:21 AM<br /><br />Can I enter more than once? ;)<br /><br /><br />Absolutely!&nbsp; Just send your Visa/Mastercard # to....<br />Kidding!&nbsp; &nbsp;;)<br />I&#039;ll have more giveaways though, don&#039;t you worry.&nbsp;"
9353157,Rannasha,"&quot;And this little piggy went hashing!&quot;<br /><br />Entry# 91, PO-address in signature."
9353158,empoweoqwj,"Quote from: PBmining on January 17, 2014, 07:31:34 AM<br /><br />Quote from: empoweoqwj on January 17, 2014, 05:11:21 AM<br /><br />Can I enter more than once? ;)<br /><br /><br />Absolutely!&nbsp; Just send your Visa/Mastercard # to....<br />Kidding!&nbsp; &nbsp;;)<br />I&#039;ll have more giveaways though, don&#039;t you worry.&nbsp; <br /><br /><br />Haha ;)<br />Cool promo idea though - nice (and rare) to see people thinking creatively to promote bitcoin ideas. Good luck with it"
